-1998, 1997, 953
-1998, 1997, 1633
-,-,-
1996, 1072, -1606
1997, 71, -1983
1997, 531, -1997
1965, 1933, -1816
-1039, 1997, -979
-1998, 1997, 1449
-1998, 1997, 1749
-1998, 1846, 1998
-1998, 812, 1982
-,-,-
1751, 998, -690
1997, 730, -1617
1997, 172, -1997
1997, 515, -1997
1901, 1615, -1916
-1060, 1997, -863
-1998, 1997, 1528
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
1362, 823, -624
1997, 634, -1439
1997, 634, -1439
1997, 101, -1997
1997, -182, -1997
1997, 1308, -1726
216, 1997, -1217
-1998, 1997, 462
-1998, 1997, 1436
-,-,-
797, 770, -541
1978, 1226, -1196
1997, 13, -1970
1997, -603, -1997
1997, 812, -1995
1139, 1997, -1815
-1954, 1997, 282
-1998, 1997, 1856
-1998, 1997, 1998
-1998, 1969, 1998
-,-,-
1233, 787, -782
1997, 824, -1488
1997, -80, -1997
1997, -624, -1997
1997, 1166, -1997
1555, 1997, -1496
-1787, 1997, 849
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
844, 178, -758
1938, 806, -1291
1997, 278, -1964
1997, 179, -1997
1997, 1434, -1975
1261, 1997, -1508
-1976, 1997, 59
-1998, 1997, 1421
-1998, 1997, 1964
-,-,-
1228, 388, -1268
1997, 29, -1997
1997, -769, -1997
1997, -185, -1997
1997, 1746, -1996
452, 1997, -1725
-1998, 1997, 309
-1998, 1997, 1978
-1998, 1997, 1998
-,-,-
1847, 778, -1683
1997, -97, -1997
1997, -729, -1997
1997, 700, -1997
1871, 1997, -1997
-1162, 1997, -739
-1998, 1997, 1498
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1820, 1998
-,-,-
1997, 26, -1509
1997, -271, -1997
1997, 926, -1882
1997, 1997, -1286
70, 1997, -635
70, 1997, -635
-1998, 1997, 223
-1998, 1997, 1078
-1998, 1997, 1983
-,-,-
1755, 486, -1299
1997, -143, -1975
1997, -600, -1997
1997, 687, -1997
1866, 1997, -1858
-1349, 1997, -346
-1998, 1997, 1872
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1480, 1995
-,-,-
1879, -60, -1586
1997, -810, -1997
1997, -822, -1997
1997, 1432, -1997
1819, 1997, -1170
-1413, 1997, 353
-1998, 1997, 760
-1998, 1997, 912
-1998, 1997, 1467
-,-,-
326, -169, -308
1035, 309, -751
1995, 742, -1481
1997, -165, -1993
1997, -25, -1997
1997, 1695, -1990
1276, 1997, -1450
-1952, 1997, -1096
-1998, 1997, 135
-1998, 1997, 945
-,-,-
397, 269, -370
1617, 598, -877
1997, -164, -1657
1997, -1010, -1997
1997, -831, -1997
1879, 1289, -1995
-1273, 1997, -1407
-1998, 1997, 398
-1998, 1997, 1037
-1998, 1997, 1482
-,-,-
690, 84, -770
690, 84, -770
1822, 348, -1287
1997, -81, -1679
1997, -332, -1997
1997, 584, -1997
1904, 1966, -1993
-1351, 1997, -816
-1998, 1997, 1543
-1998, 1997, 1375
-1998, 1995, 1356
-,-,-
1262, 192, -532
1996, 284, -1042
1997, -156, -1745
1997, -283, -1997
1997, 1401, -1997
1753, 1997, -1917
-1544, 1997, -333
-1998, 1997, 1478
-1998, 1997, 1815
